name,scope,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,hard_fail,fail_reason,recommendation
novalis,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,yes,usenovalis.com,no,unknown,False,,strong
paritos,global,93,25,79,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getparitos.com,yes,unknown,False,,strong
arealis,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getarealis.com,no,unknown,False,,strong
basisio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getbasisio.com,yes,unknown,False,,strong
conexio,global,88,25,74,0,46,objego,0,-1,False,-1,False,-1,False,no,yes,useconexio.com,no,unknown,False,,strong
domusio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getdomusio.com,yes,unknown,False,,strong
equalis,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getequalis.com,no,unknown,False,,strong
fairion,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getfairion.com,yes,unknown,False,,strong
fiducio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getfiducio.com,no,unknown,False,,strong
ordinio,global,88,25,74,0,46,saldio,0,-1,False,-1,False,-1,False,no,yes,getordinio.com,no,unknown,False,,strong
assetio,global,82,25,68,0,46,saldeo,0,-1,False,-1,False,-1,False,no,yes,getassetio.com,yes,unknown,False,,strong
centralis,global,87,29,71,0,53,costal,0,-1,False,-1,False,-1,False,no,yes,getcentralis.com,no,unknown,False,,strong
balanca,global,93,31,75,0,57,scalara,0,-1,False,-1,False,-1,False,no,yes,getbalanca.com,no,unknown,False,,strong
justion,global,93,31,75,0,57,utilaro,0,-1,False,-1,False,-1,False,no,yes,getjustion.com,yes,unknown,False,,strong
levario,global,88,31,70,0,57,utilaro,0,-1,False,-1,False,-1,False,no,yes,getlevario.com,no,unknown,False,,strong
linearo,global,88,31,70,0,57,utilaro,0,-1,False,-1,False,-1,False,no,yes,getlinearo.com,no,unknown,False,,strong
actural,global,93,33,74,0,61,costal,0,-1,False,-1,False,-1,False,no,yes,getactural.com,yes,unknown,False,,consider
contara,global,93,33,74,0,61,costal,0,-1,False,-1,False,-1,False,no,yes,getcontara.com,no,unknown,False,,consider
fiscali,global,93,33,74,0,61,saldio,0,-1,False,-1,False,-1,False,no,yes,getfiscali.com,no,unknown,False,,consider
estatio,global,88,33,69,0,61,saldio,0,-1,False,-1,False,-1,False,no,yes,getestatio.com,no,unknown,False,,consider
comptar,global,83,33,64,0,61,costal,0,-1,False,-1,False,-1,False,no,yes,getcomptar.com,yes,unknown,False,,consider
claritas,global,95,36,75,0,66,scalara,0,-1,False,-1,False,-1,False,no,yes,getclaritas.com,no,unknown,False,,consider
calcora,global,93,39,71,0,71,scalara,0,-1,False,-1,False,-1,False,no,yes,getcalcora.com,no,unknown,False,,consider
monetal,global,93,39,71,0,71,immonet,0,-1,False,-1,False,-1,False,no,yes,getmonetal.com,yes,unknown,False,,consider
caliora,global,88,39,66,0,71,scalara,0,-1,False,-1,False,-1,False,no,yes,getcaliora.com,no,unknown,False,,consider
finiora,global,88,19,77,0,35,immoware24,0,-1,False,-1,False,-1,False,no,no,,yes,unknown,True,required_domain_com_not_available,reject
aequitas,global,89,22,76,0,40,hausify,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
integral,global,95,23,82,0,42,kostal,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
arithma,global,93,23,80,0,42,scalara,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
bilance,global,93,23,80,0,42,immonet,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
certion,global,93,23,80,0,42,immonet,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
equitos,global,88,23,75,0,42,utilaro,0,-1,False,-1,False,-1,False,no,no,,yes,unknown,True,required_domain_com_not_available,reject
decimal,global,93,25,79,0,46,costal,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
prorata,global,93,25,79,0,46,kostal,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
allocata,global,98,29,82,0,53,scalara,0,-1,False,-1,False,-1,False,no,no,,yes,unknown,True,required_domain_com_not_available,reject
computio,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
optimara,global,98,29,82,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
formular,global,95,29,79,0,53,utilaro,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
corento,global,93,30,76,18,46,objego,0,-1,False,-1,False,-1,False,no,no,,no,unknown,True,required_domain_com_not_available,reject
